pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,outs_when_up,inning,inning_topbot,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,spin_axis
SL,6/5/2021,85.2,1.53,6.29,"Kershaw, Clayton",607345,477132,strikeout,swinging_strike,13,Kevan Smith strikes out swinging.,R,R,L,ATL,LAD,S,2,,2,2,2021,-0.34,0.45,-0.32,1.16,2,6,Bot,605131,-3.653856069,-123.8814052,-6.629272267,-2.775394685,25.05368274,-26.43654425,3.55,1.63,85.1,2800,6.3,54.2,,,0,1,0,0,,52,5,Slider,226
SL,6/5/2021,85.8,1.69,6.16,"Kershaw, Clayton",607345,477132,,ball,14,Kevan Smith strikes out swinging.,R,R,L,ATL,LAD,B,,,1,2,2021,-0.36,0.43,0.8,0.77,2,6,Bot,605131,-1.392192072,-124.8716782,-7.380974372,-3.473081239,25.47814677,-26.40079378,3.43,1.63,86.1,2791,6.5,53.97,,,,,,,,52,4,Slider,217
CU,6/5/2021,73.7,1.19,6.4,"Kershaw, Clayton",607345,477132,,foul,14,Kevan Smith strikes out swinging.,R,R,L,ATL,LAD,S,,,1,1,2021,-0.25,-1.32,0.25,1.38,2,6,Bot,605131,-1.462421761,-107.3065763,-0.567219148,-1.67713003,20.27036843,-42.40132851,3.55,1.63,73.4,2513,6.2,54.29,,,,,,,,52,3,Curveball,337
SL,6/5/2021,86.6,1.72,6.2,"Kershaw, Clayton",607345,477132,,ball,14,Kevan Smith strikes out swinging.,R,R,L,ATL,LAD,B,,,0,1,2021,-0.26,0.84,1.33,1.89,2,6,Bot,605131,-0.391987097,-126.1023651,-5.790396036,-2.663770462,25.96413874,-22.21824581,3.45,1.63,86.6,2649,6.3,54.23,,,,,,,,52,2,Slider,181
FF,6/5/2021,90.2,1.66,6.21,"Kershaw, Clayton",607345,477132,,called_strike,3,Kevan Smith strikes out swinging.,R,R,L,ATL,LAD,S,,,0,0,2021,-0.23,1.55,0.57,3.02,2,6,Bot,605131,-2.220937687,-131.2579662,-5.27794655,-2.206265452,27.83679671,-13.37532937,3.52,1.63,90.3,2498,6.4,54.12,,,,,,,,52,1,4-Seam Fastball,173
SL,6/5/2021,90.2,1.69,6.14,"Kershaw, Clayton",628338,477132,field_out,hit_into_play,5,"Guillermo Heredia grounds out sharply, shortstop Gavin Lux to first baseman Albert Pujols.",R,R,L,ATL,LAD,X,6,ground_ball,1,1,2021,-0.07,1.2,-0.23,2.31,1,6,Bot,605131,-4.620870969,-131.2786741,-6.152880074,0.113724129,27.22085546,-17.19369302,3.3,1.5,90.5,2578,6.4,54.08,0.403,0.367,0,1,0,0,4,51,3,Slider,177
SL,6/5/2021,85.6,1.73,6.25,"Kershaw, Clayton",628338,477132,,foul,2,"Guillermo Heredia grounds out sharply, shortstop Gavin Lux to first baseman Albert Pujols.",R,R,L,ATL,LAD,S,,,1,0,2021,-0.23,0.5,0.17,3.07,1,6,Bot,605131,-3.209283971,-124.7406369,-2.301882311,-1.873832052,22.63591063,-26.68602927,3.3,1.5,86.2,2647,6.4,54.14,,,,,,,,51,2,Slider,202
SL,6/5/2021,86.2,1.62,6.23,"Kershaw, Clayton",628338,477132,,ball,13,"Guillermo Heredia grounds out sharply, shortstop Gavin Lux to first baseman Albert Pujols.",R,R,L,ATL,LAD,B,,,0,0,2021,-0.17,0.72,-0.03,0.71,1,6,Bot,605131,-3.581579485,-125.3851033,-8.375137643,-1.11168814,23.92233716,-23.11766479,3.12,1.5,86.5,2722,6.4,54.12,,,,,,,,51,1,Slider,206
SL,6/5/2021,86.8,1.59,6.26,"Kershaw, Clayton",501303,477132,field_out,hit_into_play,9,"Ehire Adrianza grounds out, second baseman Chris Taylor to first baseman Albert Pujols.",R,R,L,ATL,LAD,X,4,ground_ball,2,2,2021,-0.07,0.84,0.28,1.62,0,6,Bot,605131,-2.988450824,-126.2792651,-6.660764497,-0.144703597,24.57950557,-22.10421399,3.41,1.56,87,2735,6.4,54.14,0.423,0.386,0,1,0,0,4,50,5,Slider,207
SL,6/5/2021,85.1,1.68,6.28,"Kershaw, Clayton",501303,477132,,foul,8,"Ehire Adrianza grounds out, second baseman Chris Taylor to first baseman Albert Pujols.",R,R,L,ATL,LAD,S,,,2,1,2021,-0.32,0.64,-0.2,2.05,0,6,Bot,605131,-3.771929299,-123.9089106,-4.936969449,-2.640307519,23.20334598,-24.78034527,3.41,1.56,85.4,2715,6.3,54.17,,,,,,,,50,4,Slider,216
