last_name,first_name,player_id,Player_Age,Games,Innings_Pitched,Plate_Appearances,Hits,Home_Runs,Strikeouts,Walks,K_Percent,BB_Percent,Runs,Wins,Losses,Total_Balls,Total_Strikes,xba,xslg,xwoba,xobp,xiso,Exit_Velocity,Launch_Angle,Barrel_Percent,Offspeed,Fastball,Breaking,Pitches,Whiff_Percent,Fastball_Speed,Fastball_Spin,Breaking_Speed,Breaking_Spin,Offspeed_Speed,Offspeed_Spin
deGrom,Jacob,594798,33,15,92,324,40,6,146,11,45.1,3.4,14,7,2,370,856,0.145,0.249,0.19,0.181,0.103,87.7,13.7,6.6,109,704,413,1226,41.4,99.2,2418,91.5,2599,91.4,1618
Hader,Josh,623352,27,60,58.2,224,25,3,102,24,45.5,10.7,8,4,2,331,633,0.153,0.237,0.227,0.251,0.084,87.5,22,6.3,65,631,268,964,45.2,96.4,2069,83.6,2494,87.7,1465
Kimbrel,Craig,518886,33,63,59.2,235,31,6,100,23,42.6,9.8,19,4,5,373,635,0.157,0.266,0.235,0.25,0.109,90.5,19.7,6.4,0,585,401,1008,43.7,96.5,2301,86.1,2558,0,0
Adams,Austin,613534,30,65,52.2,241,28,1,76,35,31.5,14.5,28,3,2,388,574,0.165,0.263,0.311,0.374,0.098,85.7,20.1,5.7,0,124,838,962,34.2,94.1,2571,86.9,2836,0,0
Hendriks,Liam,521230,32,69,71,267,45,11,113,7,42.3,2.6,23,8,3,368,763,0.167,0.316,0.217,0.192,0.149,89.8,19.4,9.7,1,761,342,1131,38,97.7,2395,88,2189,91.6,2394
Jimenez,Joe,641729,26,52,45.1,210,34,6,57,35,27.1,16.7,33,6,1,338,528,0.168,0.324,0.304,0.337,0.156,89.2,22.6,7.3,113,468,285,866,31.3,94.7,2494,84.5,2280,90,2251
Tepera,Ryan,572193,34,65,61.1,240,35,4,74,19,30.8,7.9,19,0,2,348,600,0.171,0.279,0.248,0.257,0.108,87.3,14.7,8.4,99,418,431,948,35.1,93.3,2239,86.4,2349,86.5,1364
Romano,Jordan,605447,28,62,63,253,41,7,85,25,33.6,9.9,17,7,1,360,671,0.173,0.296,0.251,0.258,0.123,89.1,12.3,9.2,0,652,379,1031,31.8,97.6,2391,88.4,2222,0,0
Diaz,Edwin,621242,27,63,62.2,257,43,3,89,23,34.6,8.9,27,5,6,352,647,0.174,0.265,0.251,0.278,0.091,87.6,17.2,5.1,0,621,378,999,35.1,98.8,2288,90.6,2218,0,0
Peralta,Freddy,642547,25,28,144.1,580,84,14,195,56,33.6,9.7,47,10,5,886,1470,0.174,0.289,0.254,0.269,0.115,86.6,21.4,6,232,1246,878,2356,34.1,93.4,2369,79.4,2250,88.1,1630
Dobnak,Randy,677976,26,14,50.2,228,66,11,27,12,11.8,5.3,44,1,7,281,484,0.322,0.549,0.392,0.362,0.227,91.7,2.3,10.2,56,455,254,765,17.4,91.6,1944,84.2,2428,84.5,1699
Gonzalez,ChiChi,592346,29,24,101.2,448,127,18,56,28,12.5,6.3,74,3,7,568,1067,0.312,0.538,0.385,0.364,0.226,90.2,11.7,8.9,160,1009,466,1635,16.1,91.2,2356,84.9,2526,84.3,1648
Keuchel,Dallas,572971,33,32,162,720,189,25,95,59,13.2,8.2,105,9,9,1064,1662,0.302,0.493,0.372,0.366,0.191,88.3,5,9,779,1755,192,2726,21,86.8,2078,77.8,2374,79.6,1630
Barria,Jaime,642545,25,13,56.2,250,70,8,35,19,14,7.6,29,2,4,344,573,0.302,0.473,0.361,0.359,0.171,90,14.2,6.2,77,502,338,917,19.1,93,2250,85.9,2193,85.8,1609
Watkins,Spenser,657093,29,16,54.2,255,74,14,35,19,13.7,7.5,50,2,7,368,592,0.302,0.555,0.39,0.36,0.253,90.7,17.1,11.1,56,746,158,960,17.9,89.1,2288,79.1,2327,85.5,1530
Sheffield,Justus,656954,25,21,80.1,385,105,14,63,43,16.4,11.2,69,7,8,573,897,0.301,0.529,0.395,0.389,0.228,92.9,10.2,11.7,306,692,472,1470,19.8,92.3,2034,81.7,2570,85.8,1760
Anderson,Brett,474463,33,24,96,409,102,11,58,28,14.2,6.8,52,4,9,619,889,0.299,0.473,0.363,0.353,0.173,90.9,3,9.3,387,812,309,1508,16.4,88.6,1758,78,2327,82.2,1431
Valdez,Cesar,491624,36,39,46,210,62,8,45,14,21.4,6.7,32,2,2,239,518,0.297,0.456,0.345,0.347,0.159,89.9,8.2,6.7,567,151,39,757,28.6,85.1,2067,76.8,2351,77.9,1771
Tomlin,Josh,458708,37,35,49.1,218,69,10,37,5,17,2.3,36,4,0,258,550,0.296,0.5,0.348,0.315,0.205,89.1,18.1,8.6,12,563,233,808,23.5,86.9,2478,76.4,2687,84.7,1720
Davies,Zach,605200,28,32,148,668,162,25,114,75,17.1,11.2,99,6,12,1027,1550,0.294,0.487,0.376,0.38,0.193,89.8,11,9.1,849,1546,182,2577,22.3,87.8,2028,74.3,2456,78.5,1700
