last_name,first_name,player_id,year,player_age,p_game,p_total_pa,p_total_hits,p_home_run,p_strikeout,p_walk,p_run,p_out,p_win,p_loss,p_wild_pitch,p_ball,p_called_strike,p_hit_scoring,p_swinging_strike,p_total_ball,p_total_bases,p_total_strike,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,whiff_percent,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break_x,fastball_avg_break_z,fastball_avg_break,fastball_range_speed,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,breaking_avg_break,breaking_range_speed,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break_x,offspeed_avg_break_z,offspeed_avg_break,offspeed_range_speed
Urias,Julio,628711,2021,25,32,745,151,19,195,38,67,557,20,3,2,790,517,27,345,840,241,1946,0.219,0.36,0.272,0.266,0.141,86,15.5,5.3,24.1,48.4,94.1,2499,3.8,-13.5,17.8,1.3,34.2,81.4,2885,-15.8,-42.3,16.1,1.8,17.3,86.8,1921,14.6,-28.9,16.4,1.5
Wainwright,Adam,425794,2021,40,32,828,168,21,174,50,72,619,17,7,4,982,664,27,265,1059,269,2009,0.251,0.388,0.302,0.304,0.137,88.2,10,6.2,19.7,59.7,87.5,2295,-4,-25.1,14.3,2.7,33.8,73.5,2839,16.6,-66.3,22.2,1.6,6.4,82.7,1715,-13.8,-32.1,16,1.6
Buehler,Walker,621111,2021,27,33,815,149,19,212,52,61,623,16,4,5,987,570,26,407,1032,246,2120,0.218,0.344,0.272,0.273,0.126,88.2,11.1,6.8,26.3,68.2,94.4,2493,-2,-15.3,16.6,2.2,27,82.5,2829,12.5,-47.2,16.4,3,4.8,91.5,1522,-13,-27.1,14.4,1.5
Cole,Gerrit,543037,2021,31,30,726,151,24,243,41,69,544,16,8,5,933,523,23,463,994,252,1975,0.209,0.369,0.273,0.256,0.16,88.7,12.5,9.8,31.9,48,97.7,2451,-12.1,-11,21.7,1.4,37.9,86.3,2683,7.5,-41.5,10.2,3.2,14.2,89.8,1719,-15.8,-24,18.9,1.5
Scherzer,Max,453286,2021,37,30,693,119,23,236,36,53,538,15,4,2,883,443,13,487,950,213,1871,0.196,0.354,0.263,0.249,0.158,87.9,19.3,8,34.1,55.7,93.6,2442,-9,-16.4,17.7,2.2,29.4,82.9,2403,6.4,-39.7,9.2,4.9,14.9,85,1446,-15.2,-33.9,15.9,1.3
Wheeler,Zack,554430,2021,31,32,849,169,16,247,46,72,640,14,10,6,991,501,34,441,1041,252,2164,0.215,0.318,0.258,0.265,0.103,84.6,8.4,4.6,26.5,60.6,97,2332,-10.1,-14.5,18.3,1.2,35.6,88.5,2466,4.6,-34.5,9.5,5.4,3.8,90.6,1596,-13.9,-23.3,17.3,1.7
Gausman,Kevin,592332,2021,30,33,775,150,20,227,50,66,576,14,6,7,862,473,22,492,957,247,2045,0.23,0.381,0.289,0.283,0.15,89.1,12.1,7.1,31.3,52.7,94.6,2283,-10.4,-14.2,19.5,1.7,5.9,81.9,2240,2,-39.7,3.2,1.9,41.4,83.6,1541,-12.2,-35.6,13.4,1.7
Morton,Charlie,450203,2021,38,33,756,136,16,216,58,77,557,14,6,5,997,556,42,397,1056,207,1931,0.216,0.331,0.282,0.295,0.115,88.1,7.7,4.9,28.9,58,94.1,2301,-11.7,-21.3,16.3,3.4,36.7,80.6,3053,16.6,-52.5,19.5,1.3,5.3,86.4,2100,-18,-33.8,18.4,1.4
Hendricks,Kyle,543294,2021,32,32,785,200,31,131,44,101,543,14,7,2,858,523,32,274,920,346,1889,0.277,0.456,0.339,0.329,0.179,86.3,11.1,8.4,20.1,60.5,87.3,1861,-11.7,-24.7,16.8,1.3,11.7,73.2,2844,14.9,-63.4,19.1,1.2,27.8,80,2008,-13.2,-31.9,17.4,1.1
Flexen,Chris,623167,2021,27,31,741,185,19,125,40,74,539,14,6,2,917,426,35,269,986,286,1825,0.26,0.426,0.317,0.304,0.166,89.5,11.5,6.3,19.2,69.4,91.2,2188,0.9,-19.2,14.6,2.5,15.3,77.2,2708,7.9,-59.1,15.5,1.8,15.3,82.7,1326,-12.2,-30.2,15.7,1.4
Ryu,HyunJin,547943,2021,34,31,701,170,24,143,37,85,507,14,10,2,865,507,39,288,906,286,1783,0.264,0.439,0.322,0.306,0.175,89.6,9.8,8.5,22.6,61.5,88.4,1965,7.3,-23.9,14.2,2.7,13.1,74.1,2494,-11.4,-63.3,17.5,2.5,25.4,79.9,1511,14,-36.2,15.9,2.2
Fried,Max,608331,2021,27,28,667,139,15,158,41,61,497,14,7,7,798,430,29,305,875,216,1683,0.234,0.364,0.288,0.289,0.13,86.5,6.1,6.3,24.3,50.4,93.8,2088,3.4,-18.7,13.5,1.8,47.4,79.1,2574,-8.6,-52.8,14,6.2,2.2,84.7,1411,11.8,-32.5,13.6,1.8
Matz,Steven,571927,2021,30,29,647,158,18,144,43,70,452,14,7,5,853,470,30,267,889,242,1668,0.253,0.396,0.31,0.309,0.143,87.8,9.6,7,22.3,51.9,94.5,2184,15,-18.4,19.6,1.1,24.7,81.3,2252,-8.6,-46.3,13.1,5.9,23.4,85.1,2260,15.9,-34.6,16.4,1.5
Ray,Robbie,592662,2021,30,32,773,150,33,248,52,62,580,13,7,5,1007,442,22,527,1067,286,2074,0.218,0.397,0.292,0.275,0.179,90.4,17.6,9.8,32.3,59.6,94.8,2272,8.2,-13.5,19.1,1.4,36.8,87.6,2176,-1,-29.7,6.7,3,3.6,88.2,1727,10.2,-21.8,17.1,1.7
